# Integration point output from Abaqus ODB
# ODB:   G:\01_Forschung\01_Creep\00_UMAT\UMAT_CLAUDE\Schachter_3D\G1_schachter_seed10.odb
# Step:  Load
# Frame: -1
# Time:  4.800000000000e+03
#
# Columns:
# instance  elementLabel  integrationPoint  x  y  z  SDV3  SDV4
#
G1-1 1816 2 -1.112473922771e+01 -1.776326906719e+01 2.335040414968e+01 3.741276979446e+00 -1.180990338326e+00
G1-1 1816 3 -1.112473922771e+01 -1.776326906719e+01 2.773223684674e+01 4.257408142090e+00 -1.365416169167e+00
G1-1 1816 4 -1.531736668553e+01 -1.776326906719e+01 2.773223684674e+01 5.097221374512e+00 -1.678252100945e+00
G1-1 1817 1 1.667705098312e+01 -6.873012656742e+00 7.412678344426e+01 2.601889133453e+00 -6.225798130035e-01
G1-1 1817 2 1.332294901688e+01 -2.540759894708e+00 7.409254092378e+01 7.538942813873e+00 -2.405886411667e+00
G1-1 1817 3 1.332294901688e+01 -4.696968000756e+00 7.782720178581e+01 8.600970268250e+00 -2.798372507095e+00
G1-1 1817 4 1.667705098312e+01 -2.540759482126e+00 7.409254092378e+01 2.244976043701e+00 -3.401114940643e-01
G1-1 1818 1 -1.615881372891e+01 1.353746222245e+01 9.720065815489e+01 5.676321983337e+00 -1.845958113670e+00
G1-1 1818 2 -1.196618627109e+01 1.751948674921e+01 9.907603665774e+01 4.587479591370e+00 -1.434152126312e+00
G1-1 1818 3 -1.196618627109e+01 1.751948674921e+01 9.469419998714e+01 4.819110393524e+00 -1.507201552391e+00
G1-1 1818 4 -1.615881372891e+01 1.751948674921e+01 9.907603665774e+01 5.113752841949e+00 -1.647681355476e+00
G1-1 1819 1 -1.519927813948e+01 -6.161712648340e+00 5.517227996749e+01 4.856412887573e+00 -1.517970681190e+00
G1-1 1819 2 -1.791178815384e+01 -6.791495584926e+00 5.979597993870e+01 6.722766876221e+00 -2.201764106750e+00
G1-1 1819 3 -1.791178815384e+01 -3.500908588431e+00 5.613391194815e+01 5.029803276062e+00 -1.607414960861e+00
G1-1 1819 4 -1.791178815384e+01 -7.722143929788e+00 5.503957237784e+01 4.324120044708e+00 -1.308715105057e+00
G1-1 1820 1 -4.493583898951e+00 1.536692156623e+01 1.059843013589e+02 3.910355091095e+00 -1.132474422455e+00
G1-1 1820 2 -6.243163745999e+00 1.795136351642e+01 1.086346354338e+02 3.524998903275e+00 -9.976153969765e-01
G1-1 1820 3 -2.050536347127e+00 1.795136351642e+01 1.086346354338e+02 3.065514564514e+00 -7.777206301689e-01
G1-1 1820 4 -2.050536347127e+00 1.795136351642e+01 1.042528059473e+02 2.803714036942e+00 -6.118299961090e-01
G1-1 1821 1 -7.914872154461e+00 -1.488121873336e+01 6.282866226852e+01 4.180213928223e+00 -1.162538409233e+00
G1-1 1821 2 -8.040565370356e+00 -1.783670463099e+01 6.077662907277e+01 2.996141910553e+00 -6.379526853561e-01
G1-1 1821 3 -3.847938030425e+00 -1.783670463099e+01 6.077662907277e+01 4.250633716583e+00 -1.186838746071e+00
G1-1 1821 4 -8.040565370356e+00 -1.783670463099e+01 6.515846120825e+01 3.138356447220e+00 -6.591916084290e-01
G1-1 1822 1 -5.425898020479e+00 4.097000152785e+00 7.315517673431e+01 8.743857383728e+00 -2.512632131577e+00
G1-1 1822 2 -2.621745308305e+00 5.825490619692e+00 7.062012474080e+01 8.688992500305e+00 -2.622774362564e+00
G1-1 1822 3 -4.809251833603e+00 3.184806330133e+00 7.050190001634e+01 8.636260032654e+00 -2.729647159576e+00
G1-1 1822 4 -7.899634681420e+00 4.881822260220e+00 7.002225224391e+01 8.796631813049e+00 -2.407557487488e+00
G1-1 1823 1 9.674961833947e+00 6.748078303890e+00 8.348720320596e+01 6.298743247986e+00 -1.973879218102e+00
G1-1 1823 2 1.090046090304e+01 9.205654078486e+00 8.535805896385e+01 7.349545001984e+00 -2.395421266556e+00
G1-1 1823 3 9.770450903241e+00 5.349694436476e+00 8.603605320195e+01 6.412151336670e+00 -2.030623912811e+00
G1-1 1823 4 1.459607982810e+01 7.434086437221e+00 8.557586388849e+01 6.906037807465e+00 -2.261198997498e+00
G1-1 1824 1 -3.645282833525e-01 -9.731561406734e-01 8.614220760332e+01 8.328802108765e+00 -2.621195316315e+00
G1-1 1824 2 -3.243565391227e+00 -4.706236170301e+00 8.756979436204e+01 8.655756950378e+00 -2.688822507858e+00
